test_index,test_text,predicted_label,true_label,neighbor_index,neighbor_label,neighbor_distance,neighbor_text
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,855,Netral,0.9699477359818901,baik terus terus sistem polisi
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,59,Negatif,1.0006311722719168,polisi diam tidakadil terus jadi
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,1265,Negatif,1.0639011142707935,dendam tidakadil terus ulang
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,414,Negatif,1.066645277411852,takut kalau tidakadil jadi biasa
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,845,Negatif,1.1142399791915631,benci banget sama tidakadil biar terus jadi
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,1279,Negatif,1.145464265450015,kalau viral baru proses kalau biar bikin ngeri
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,910,Negatif,1.1597923783044903,ngeri lihat kasus hilang
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,1287,Positif,1.1641569953457105,yakin polisi terus usaha baik sistem tegak hukum
0,ngeri kalau sistem terus lahir tidakadil,negatif,negatif,1002,Negatif,1.1676851965651212,ngeri kalau aparat lebih pihak kuasa rakyat
1,harap polisi adil takut mimpi,negatif,negatif,370,Negatif,0.7669917865613552,takut kalau adil mimpi negeri
1,harap polisi adil takut mimpi,negatif,negatif,1004,Positif,1.0447380375176425,percaya polisi jadi harap adil
1,harap polisi adil takut mimpi,negatif,negatif,153,Negatif,1.1459939714181648,jadi harap justru bikin takut
1,harap polisi adil takut mimpi,negatif,negatif,1383,Positif,1.1680798552306513,lama polisi peduli adil harap negeri
1,harap polisi adil takut mimpi,negatif,negatif,1361,Positif,1.1729549587684454,jujur polisi harap masyarakat
1,harap polisi adil takut mimpi,negatif,negatif,459,Negatif,1.173487852278468,polisi harus jadi harap bukan sumber takut
1,harap polisi adil takut mimpi,negatif,negatif,889,Positif,1.1844849785151401,percaya polisi tegak adil adil
1,harap polisi adil takut mimpi,negatif,negatif,853,Negatif,1.1988814031742705,takut lapor yakin tindak adil
1,harap polisi adil takut mimpi,negatif,negatif,161,Negatif,1.2020329549105204,kalau uang koneksi jangan harap adil
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,8,Positif,0.8105124643573219,polisi amanah selalu dapat tempat hati rakyat
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,683,Positif,0.8247440981601929,polisi adil selalu dapat tempat hati masyarakat
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,938,Positif,0.8358316336160111,polisi jujur selalu dapat tempat hati masyarakat
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,434,Positif,0.8403548472452617,polisi tanggung jawab selalu hormat rakyat
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,1156,Positif,0.9995178956592742,percaya masyarakat tanggung jawab jaga polisi
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,1115,Positif,1.0071534539041553,polisi kerja hati selalu dapat hormat
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,1182,Netral,1.017149594888628,aman tanggung jawab sama bukan polisi
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,923,Positif,1.0345895215071084,polisi tanggung jawab harap bangsa
2,polisi tanggung jawab selalu dapat tempat hati rakyat,positif,positif,547,Netral,1.0759544748267937,aman tertib jadi tanggung jawab sama bukan polisi
3,polisi milik wenang laku selidik periksa,netral,netral,1306,Netral,0.7142626415253873,polisi milik wenang laku selidik suatu kasus
3,polisi milik wenang laku selidik periksa,netral,netral,945,Netral,1.078243532811064,polisi milik wenang tindak langgar lalu lintas
3,polisi milik wenang laku selidik periksa,netral,netral,1434,Netral,1.1479221940422577,awas kinerja polisi laku lembaga wenang
3,polisi milik wenang laku selidik periksa,netral,netral,456,Netral,1.1839156094993315,teknologi guna polisi bantu selidik kasus
3,polisi milik wenang laku selidik periksa,netral,netral,257,Negatif,1.1903994637973265,rasa intimidasi periksa padahal kooperatif laku langgar
3,polisi milik wenang laku selidik periksa,netral,netral,849,Negatif,1.1938963929951287,rasa cemas lihat oknum polisi tindak wenang wenang sanksi benar tegas
3,polisi milik wenang laku selidik periksa,netral,netral,394,Netral,1.22287774919496,polisi periksa kendara besar jalan utama kota
3,polisi milik wenang laku selidik periksa,netral,netral,152,Negatif,1.231374468738708,bukti udah depan mata alas proses selidik
3,polisi milik wenang laku selidik periksa,netral,netral,1360,Netral,1.2408088703799507,polisi milik peran aman giat masyarakat
4,yakin polisi jadi pilar adil negeri,positif,positif,216,Positif,0.7827659715296879,yakin polisi kerja baik negeri
4,yakin polisi jadi pilar adil negeri,positif,positif,571,Positif,0.996980679320984,yakin polisi jaga adil semua
4,yakin polisi jadi pilar adil negeri,positif,positif,35,Positif,1.0177911540557951,yakin polisi bukti jaga adil
4,yakin polisi jadi pilar adil negeri,positif,positif,1383,Positif,1.0245836717968932,lama polisi peduli adil harap negeri
4,yakin polisi jadi pilar adil negeri,positif,positif,230,Positif,1.026163109505359,yakin polisi jadi simbol adil sungguh
4,yakin polisi jadi pilar adil negeri,positif,positif,370,Negatif,1.0445409852382865,takut kalau adil mimpi negeri
4,yakin polisi jadi pilar adil negeri,positif,positif,853,Negatif,1.0531805884725567,takut lapor yakin tindak adil
4,yakin polisi jadi pilar adil negeri,positif,positif,86,Positif,1.0552306088151002,jadi polisi jujur adil
4,yakin polisi jadi pilar adil negeri,positif,positif,426,Positif,1.0798963740076473,yakin polisi jadi harap hukum lebih baik
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,1091,Positif,1.069382880795138,pernah hilang anak pasar polisi langsung bantu keliling hingga akhir temu
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,41,Netral,1.0981153771578644,orang polisi sedang bicara tugas parkir depan pusat belanja
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,4,Positif,1.191970040436322,program polisi sahabat anak sangat bagus anak jadi takut sama polisi malah bangga temu
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,1466,Positif,1.2126456865861939,pernah hilang kendara meski proses panjang polisi tetap komunikasi akhir motor temu
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,457,Positif,1.2188858225452401,pernah libat celaka ringan polisi datang cepat bantu mediasi saran solusi adil
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,493,Negatif,1.2284042191736122,senang anak yatim kota diri ajak polisi belanja baju lebaran mall
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,206,Negatif,1.2296285207463566,polisi baik sulit temu
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,1,Netral,1.236496105929543,demo pusat kota polisi siaga sejak pagi pernah lihat bentrok langsung
5,anak pernah hilang pusat belanja polisi datang cepat bantu temu,positif,positif,1379,Positif,1.2383530372362153,sempat hilang hp polisi bantu telusur pakai imei walaupun tidak temu tetap bantu maksimal
6,lebih buat kecewa tindak polisi,negatif,negatif,601,Negatif,0.956266429288814,polisi selalu buat rakyat kecewa
